time, lat [deg], lng [deg], alt [m]
2015-06-13 07:17:44,39.657036,-77.934181,184.708800
2015-06-13 07:20:12,39.657041,-77.934160,173.736000
2015-06-13 07:22:40,39.657036,-77.934139,181.965600
2015-06-13 07:24:58,39.657004,-77.934160,176.784000
2015-06-13 07:26:12,39.657036,-77.934181,181.965600
2015-06-13 07:32:13,39.657067,-77.934160,178.917600
2015-06-13 07:34:40,39.657041,-77.934139,184.708800
2015-06-13 07:35:54,39.657046,-77.934129,188.976000
2015-06-13 07:37:08,39.657052,-77.934129,184.708800
2015-06-13 07:38:22,39.657025,-77.934160,184.708800
2015-06-13 07:39:36,39.657036,-77.934160,182.880000
2015-06-13 07:40:50,39.657046,-77.934150,185.928000
2015-06-13 07:42:04,39.657067,-77.934181,187.756800
2015-06-13 07:44:32,39.657020,-77.934150,182.880000
2015-06-13 07:45:46,39.657036,-77.934139,178.917600
2015-06-13 07:49:28,39.657004,-77.934139,180.746400
2015-06-13 07:50:42,39.657025,-77.934213,194.767200
2015-06-13 07:55:38,39.657030,-77.934160,173.736000
2015-06-13 07:56:53,39.657030,-77.934139,177.698400
2015-06-13 07:58:06,39.657025,-77.934171,176.784000
2015-06-13 07:59:20,39.657052,-77.934097,174.955200
2015-06-13 08:00:34,39.657025,-77.934129,181.965600
2015-06-13 08:01:43,39.657025,-77.934129,175.869600
2015-06-13 08:02:58,39.657057,-77.934108,181.965600
2015-06-13 08:06:39,39.657088,-77.934160,177.698400
2015-06-13 08:07:54,39.657083,-77.934160,176.784000
2015-06-13 08:09:07,39.657052,-77.934129,181.965600
2015-06-13 08:10:21,39.657067,-77.934118,177.698400
2015-06-13 08:12:49,39.657073,-77.934139,179.832000
2015-06-13 08:14:03,39.657057,-77.934118,184.708800
2015-06-13 08:15:17,39.656442,-77.932186,378.866400
2015-06-13 08:16:30,39.654526,-77.924206,848.868000
2015-06-13 08:17:44,39.649612,-77.915165,1285.951200
2015-06-13 08:18:58,39.643731,-77.903320,1707.794400
2015-06-13 08:18:59,39.649612,-77.915165,1285.951200
2015-06-13 08:20:12,39.636911,-77.891349,2060.752800
2015-06-13 08:21:26,39.630542,-77.880418,2383.840800
2015-06-13 08:22:40,39.625402,-77.870201,2728.874400
2015-06-13 08:23:54,39.622572,-77.858167,3122.676000
2015-06-13 08:25:09,39.620068,-77.847960,3567.684000
2015-06-13 08:26:22,39.619317,-77.837564,4026.712800
2015-06-13 08:27:36,39.618860,-77.826580,4516.831200
2015-06-13 08:28:51,39.618456,-77.814316,4985.918400
2015-06-13 08:30:04,39.617138,-77.802555,5415.686400
2015-06-13 08:31:18,39.614907,-77.792138,5831.738400
2015-06-13 08:32:32,39.612964,-77.781910,6242.913600
2015-06-13 08:33:46,39.610476,-77.771252,6654.698400
2015-06-13 08:35:00,39.607934,-77.761329,7084.771200
2015-06-13 08:35:47,39.607934,-77.761329,7084.771200
2015-06-13 08:36:14,39.605813,-77.751206,7528.864800
2015-06-13 08:37:28,39.604543,-77.743541,7976.616000
2015-06-13 08:38:42,39.602873,-77.735823,8413.699200
2015-06-13 08:39:55,39.602873,-77.735823,8413.699200
2015-06-13 08:39:56,39.600033,-77.728210,8873.642400
2015-06-13 08:40:43,39.600033,-77.728210,8873.642400
2015-06-13 08:41:10,39.596567,-77.720502,9324.746400
2015-06-13 08:42:24,39.593638,-77.713026,9775.850400
2015-06-13 08:43:38,39.591569,-77.704468,10264.749600
2015-06-13 08:44:52,39.591060,-77.696035,10767.669600
2015-06-13 08:46:06,39.590482,-77.686196,11258.702400
2015-06-13 08:47:20,39.590692,-77.674204,11739.676800
2015-06-13 08:48:34,39.590886,-77.663557,12221.565600
2015-06-13 08:49:48,39.589143,-77.652510,12688.824000
2015-06-13 08:51:02,39.585584,-77.643490,13154.558400
2015-06-13 08:52:16,39.583294,-77.635163,13644.676800
2015-06-13 08:53:30,39.580643,-77.626720,14201.546400
2015-06-13 08:54:12,39.580643,-77.626720,14201.546400
2015-06-13 08:54:44,39.574983,-77.617994,14600.529600
2015-06-13 08:55:58,39.567585,-77.612733,15024.811200
2015-06-13 08:56:00,39.567585,-77.612733,15024.811200
2015-06-13 08:57:12,39.563658,-77.605362,15460.675200
2015-06-13 08:58:26,39.556680,-77.600080,15728.594400
2015-06-13 08:59:15,39.556680,-77.600080,15728.594400
2015-06-13 08:59:40,39.555515,-77.599534,16164.763200
2015-06-13 09:00:54,39.557121,-77.596226,16494.556800
2015-06-13 09:02:08,39.555168,-77.590377,16907.560800
2015-06-13 09:02:08,39.555168,-77.590377,16907.560800
2015-06-13 09:03:22,39.548553,-77.585914,17153.534400
2015-06-13 09:04:36,39.540829,-77.582428,17406.518400
2015-06-13 09:05:50,39.532975,-77.582869,17794.528800
2015-06-13 09:06:26,39.532975,-77.582869,17794.528800
2015-06-13 09:08:18,39.525462,-77.593433,18557.748000
2015-06-13 09:09:32,39.524091,-77.595008,18886.627200
2015-06-13 09:10:46,39.519770,-77.597192,19193.560800
2015-06-13 09:12:00,39.516762,-77.599282,19477.634400
2015-06-13 09:12:49,39.516762,-77.599282,19477.634400
2015-06-13 09:13:14,39.512446,-77.604343,19776.643200
2015-06-13 09:14:28,39.509816,-77.611095,20086.624800
2015-06-13 09:15:42,39.508687,-77.613731,20397.520800
2015-06-13 09:16:56,39.507248,-77.616566,20700.492000
2015-06-13 09:17:59,39.507248,-77.616566,20700.492000
2015-06-13 09:18:10,39.506776,-77.624504,21014.740800
2015-06-13 09:19:24,39.506749,-77.628694,21328.684800
2015-06-13 09:19:56,39.506749,-77.628694,21328.684800
2015-06-13 09:20:06,39.555168,-77.590377,21624.645600
2015-06-13 09:21:11,39.503951,-77.632034,21624.645600
2015-06-13 09:21:52,39.500218,-77.637389,21941.637600
2015-06-13 09:23:06,39.497052,-77.645033,22269.602400
2015-06-13 09:24:20,39.493718,-77.651985,22609.454400
2015-06-13 09:25:34,39.490489,-77.660921,22947.477600
2015-06-13 09:26:48,39.486903,-77.668681,23275.442400
2015-06-13 09:28:02,39.483054,-77.677701,23612.551200
2015-06-13 09:28:38,39.483054,-77.677701,23612.551200
2015-06-13 09:29:16,39.480608,-77.687036,23963.680800
2015-06-13 09:30:30,39.479631,-77.696424,24287.683200
2015-06-13 09:31:39,39.478040,-77.705486,24574.500000
2015-06-13 09:32:53,39.476938,-77.714863,24905.512800
2015-06-13 09:33:28,39.476938,-77.714863,24905.512800
2015-06-13 09:34:07,39.477185,-77.726110,25247.498400
2015-06-13 09:35:21,39.477200,-77.736295,25575.463200
2015-06-13 09:36:35,39.477662,-77.744696,25915.620000
