time, lat [deg], lng [deg], alt [m]
2015-06-13 07:30:01,39.657167,-77.934167,179.000000
2015-06-13 07:30:09,39.657167,-77.934167,178.000000
2015-06-13 07:31:16,39.657167,-77.934167,184.000000
2015-06-13 07:33:16,39.657167,-77.934167,184.000000
2015-06-13 07:37:16,39.657167,-77.934167,177.000000
2015-06-13 07:45:18,39.657167,-77.934167,178.000000
2015-06-13 08:11:36,39.657167,-77.934167,167.000000
2015-06-13 08:12:37,39.657167,-77.934167,173.000000
2015-06-13 08:14:40,39.657167,-77.934167,181.000000
2015-06-13 08:17:13,39.657167,-77.934167,177.000000
2015-06-13 08:19:14,39.652167,-77.924167,163.000000
2015-06-13 08:23:16,39.646667,-77.840667,134.000000
2015-06-13 08:24:16,39.637000,-77.821000,127.000000
2015-06-13 08:25:17,39.626667,-77.801500,133.000000
2015-06-13 08:26:17,39.615167,-77.784167,149.000000
2015-06-13 08:27:18,39.606167,-77.767500,180.000000
2015-06-13 08:28:19,39.605333,-77.742667,181.000000
2015-06-13 08:29:19,39.604333,-77.717667,163.000000
2015-06-13 08:30:19,39.599167,-77.694833,155.000000
2015-06-13 08:31:20,39.600500,-77.672000,169.000000
2015-06-13 08:35:23,39.549167,-77.609333,291.000000
2015-06-13 08:37:26,39.514000,-77.595000,313.000000
2015-06-13 08:39:27,39.496167,-77.567833,164.000000
2015-06-13 09:00:29,39.498833,-77.567333,208.000000
2015-06-13 09:01:28,39.498667,-77.567333,204.000000
2015-06-13 09:03:29,39.498667,-77.567333,200.000000
2015-06-13 09:31:30,39.498667,-77.567167,200.000000
2015-06-13 09:49:39,39.488333,-77.534333,176.000000
2015-06-13 09:53:44,39.522000,-77.578167,228.000000
2015-06-13 09:55:44,39.536000,-77.605000,372.000000
2015-06-13 09:57:44,39.526833,-77.617000,436.000000
2015-06-13 10:00:45,39.513500,-77.645500,192.000000
2015-06-13 10:02:45,39.505167,-77.655667,149.000000
2015-06-13 10:05:47,39.492833,-77.692500,138.000000
2015-06-13 10:11:00,39.477000,-77.686333,116.000000
2015-06-13 10:13:00,39.472667,-77.665667,140.000000
2015-06-13 10:15:00,39.464833,-77.659000,165.000000
2015-06-13 10:16:00,39.452167,-77.665000,174.000000
2015-06-13 10:21:02,39.401833,-77.660000,176.000000
